,Product Name,price,Product_links
1,"SAMSUNG Galaxy F13 (Nightsky Green, 64 GB)","₹9,599",www.flipkart.com/samsung-galaxy-f13-nightsky-green-64-gb/p/itmeadfda1bd23fa?pid=MOBGENJWF4KJTPEN&lid=LSTMOBGENJWF4KJTPENS2XJXA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGENJWF4KJTPEN.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
2,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)","₹9,599",www.flipkart.com/samsung-galaxy-f13-waterfall-blue-64-gb/p/itm583ef432b2b0c?pid=MOBGENJWBPFYJSFT&lid=LSTMOBGENJWBPFYJSFTP8FGOC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGENJWBPFYJSFT.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
3,"REDMI 11 Prime (Peppy Purple, 128 GB)","₹10,499",www.flipkart.com/redmi-11-prime-peppy-purple-128-gb/p/itm52d6b0fe396e9?pid=MOBGZHFGUHYSHQYM&lid=LSTMOBGZHFGUHYSHQYMWGOOJ0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZHFGUHYSHQYM.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
4,"REDMI 11 Prime (Flashy Black, 128 GB)","₹10,499",www.flipkart.com/redmi-11-prime-flashy-black-128-gb/p/itm01f508ea28ab0?pid=MOBGZHFGNDNWAZKZ&lid=LSTMOBGZHFGNDNWAZKZUMANTL&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZHFGNDNWAZKZ.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
5,"REDMI 11 Prime (Playful Green, 128 GB)","₹10,499",www.flipkart.com/redmi-11-prime-playful-green-128-gb/p/itm0b080e6994972?pid=MOBGZHFGZQMESCDK&lid=LSTMOBGZHFGZQMESCDKZ6ILTE&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZHFGZQMESCDK.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
6,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)","₹6,999",www.flipkart.com/samsung-galaxy-f04-opal-green-64-gb/p/itmd0c05f8b03876?pid=MOBGKY2V7QZ2QVFS&lid=LSTMOBGKY2V7QZ2QVFSGOGYVU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGKY2V7QZ2QVFS.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
7,"POCO M4 5G (Cool Blue, 64 GB)","₹10,999",www.flipkart.com/poco-m4-5g-cool-blue-64-gb/p/itm7b27dd2f5da7e?pid=MOBGDRGPD6YGVHXZ&lid=LSTMOBGDRGPD6YGVHXZBYCJDP&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=FkPickId_tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGDRGPD6YGVHXZ.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
8,"POCO C51 (Royal Blue, 64 GB)","₹6,499",www.flipkart.com/poco-c51-royal-blue-64-gb/p/itm1e4e8373537a7?pid=MOBGZCQFCWNDK89P&lid=LSTMOBGZCQFCWNDK89PTMGT86&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZCQFCWNDK89P.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
9,"POCO C51 (Power Black, 64 GB)","₹6,499",www.flipkart.com/poco-c51-power-black-64-gb/p/itm62bcd2634619e?pid=MOBGZCQFWM5HZHXX&lid=LSTMOBGZCQFWM5HZHXXVV2MKC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZCQFWM5HZHXX.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
10,"POCO C50 (Royal Blue, 32 GB)","₹5,499",www.flipkart.com/poco-c50-royal-blue-32-gb/p/itma43af9d14952e?pid=MOBGK8WZUTGDEZFA&lid=LSTMOBGK8WZUTGDEZFAWKBDLT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGK8WZUTGDEZFA.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
11,"POCO C55 (Forest Green, 64 GB)","₹7,999",www.flipkart.com/poco-c55-forest-green-64-gb/p/itm8b99ef9bd674c?pid=MOBGMXSWFYZYWKTD&lid=LSTMOBGMXSWFYZYWKTDWKED3U&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGMXSWFYZYWKTD.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
12,"POCO C55 (Cool Blue, 64 GB)","₹7,999",www.flipkart.com/poco-c55-cool-blue-64-gb/p/itm166c52f5d5dc0?pid=MOBGMXSW55C7ZJE7&lid=LSTMOBGMXSW55C7ZJE7OFBLA7&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGMXSW55C7ZJE7.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
13,"vivo T2x 5G (Glimmer Black, 128 GB)","₹15,999",www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZEMCKRGE&lid=LSTMOBGZBFUZEMCKRGEW3VLBC&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUZEMCKRGE.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
14,"vivo T2x 5G (Marine Blue, 128 GB)","₹15,999",www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZHRYUKVR&lid=LSTMOBGZBFUZHRYUKVRIAHQ7J&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUZHRYUKVR.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
15,"vivo T2x 5G (Glimmer Black, 128 GB)","₹13,999",www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUF389GDMP&lid=LSTMOBGZBFUF389GDMPW0HJRW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUF389GDMP.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
16,"vivo T2x 5G (Marine Blue, 128 GB)","₹13,999",www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFU4HBKKFSN&lid=LSTMOBGZBFU4HBKKFSNRCJ28C&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFU4HBKKFSN.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
17,"vivo T2x 5G (Aurora Gold, 128 GB)","₹15,999",www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUSEFSWASX&lid=LSTMOBGZBFUSEFSWASXKM9M4E&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUSEFSWASX.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
18,"vivo T2x 5G (Aurora Gold, 128 GB)","₹13,999",www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUFNDXSGHS&lid=LSTMOBGZBFUFNDXSGHSI1GIZR&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUFNDXSGHS.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
19,"vivo T2x 5G (Aurora Gold, 128 GB)","₹12,999",www.flipkart.com/vivo-t2x-5g-aurora-gold-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUQMTHYHSH&lid=LSTMOBGZBFUQMTHYHSHXWZGSH&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUQMTHYHSH.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
20,"vivo T2x 5G (Marine Blue, 128 GB)","₹12,999",www.flipkart.com/vivo-t2x-5g-marine-blue-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUPTU7DNCA&lid=LSTMOBGZBFUPTU7DNCALOZWX1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUPTU7DNCA.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
21,"vivo T2x 5G (Glimmer Black, 128 GB)","₹12,999",www.flipkart.com/vivo-t2x-5g-glimmer-black-128-gb/p/itmcf0e8d553142a?pid=MOBGZBFUZDW5JHYW&lid=LSTMOBGZBFUZDW5JHYWSIG1N1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGZBFUZDW5JHYW.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
22,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)","₹10,499",www.flipkart.com/samsung-galaxy-f13-waterfall-blue-128-gb/p/itm85a305642eb7b?pid=MOBGENJWVWYAAVG5&lid=LSTMOBGENJWVWYAAVG5AKPCP0&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGENJWVWYAAVG5.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
23,"POCO C55 (Power Black, 64 GB)","₹7,999",www.flipkart.com/poco-c55-power-black-64-gb/p/itme567bcd596fe9?pid=MOBGMXSW9PHJVQCA&lid=LSTMOBGMXSW9PHJVQCALTZQ3D&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGMXSW9PHJVQCA.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
24,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)","₹10,499",www.flipkart.com/samsung-galaxy-f13-nightsky-green-128-gb/p/itma7ed2982bc08f?pid=MOBGENJW6YHHQDYU&lid=LSTMOBGENJW6YHHQDYUXELNQ3&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=0b10edf7-3dc2-4cc7-bc4a-d292dddd7602.MOBGENJW6YHHQDYU.SEARCH&ppt=None&ppn=None&ssid=vj5mnsmmi80000001689095800206&qH=eb4af0bf07c16429
